Path Point: GeoPoint(latitude=34.0555, longitude=-117.82539) | Location Point : GeoPoint(latitude=34.05547610000001, longitude=-117.8254086857143) | Distance = 5.35729 | Residual: GeoPoint(latitude=2.3899999995080634E-5, longitude=1.8685714294974787E-5)
Path Point: GeoPoint(latitude=34.05546, longitude=-117.82533) | Location Point : GeoPoint(latitude=34.05539895, longitude=-117.8253299) | Distance = 5.35729 | Residual: GeoPoint(latitude=6.10499999993408E-5, longitude=-9.999999406318238E-8)
Path Point: GeoPoint(latitude=34.05532, longitude=-117.82524) | Location Point : GeoPoint(latitude=34.0553101, longitude=-117.82526475) | Distance = 5.35729 | Residual: GeoPoint(latitude=9.900000002005527E-6, longitude=2.475000000856653E-5)
Path Point: GeoPoint(latitude=34.05518, longitude=-117.82518) | Location Point : GeoPoint(latitude=34.0552168, longitude=-117.8252265) | Distance = 5.35729 | Residual: GeoPoint(latitude=-3.6799999996617316E-5, longitude=4.6499999996285624E-5)
Path Point: GeoPoint(latitude=34.05515, longitude=-117.82517) | Location Point : GeoPoint(latitude=34.0551494, longitude=-117.8252167) | Distance = 5.35729 | Residual: GeoPoint(latitude=5.999999999062311E-7, longitude=4.669999999862284E-5)
Path Point: GeoPoint(latitude=34.05515, longitude=-117.82517) | Location Point : GeoPoint(latitude=34.0551494, longitude=-117.8252167) | Distance = 5.35729 | Residual: GeoPoint(latitude=5.999999999062311E-7, longitude=4.669999999862284E-5)
Path Point: GeoPoint(latitude=34.05511, longitude=-117.82518) | Location Point : GeoPoint(latitude=34.0551147, longitude=-117.8252236) | Distance = 5.35729 | Residual: GeoPoint(latitude=-4.699999998081239E-6, longitude=4.359999999792308E-5)
Path Point: GeoPoint(latitude=34.05508, longitude=-117.8252) | Location Point : GeoPoint(latitude=34.0551018, longitude=-117.8252499) | Distance = 5.35729 | Residual: GeoPoint(latitude=-2.1800000006066966E-5, longitude=4.9900000007596645E-5)
Path Point: GeoPoint(latitude=34.05504, longitude=-117.82523) | Location Point : GeoPoint(latitude=34.0550806, longitude=-117.8252735) | Distance = 5.35729 | Residual: GeoPoint(latitude=-4.059999999839192E-5, longitude=4.349999998964904E-5)
Path Point: GeoPoint(latitude=34.05502, longitude=-117.82527) | Location Point : GeoPoint(latitude=34.0550584, longitude=-117.8252964) | Distance = 5.35729 | Residual: GeoPoint(latitude=-3.840000000110422E-5, longitude=2.6399999995874168E-5)
Path Point: GeoPoint(latitude=34.055, longitude=-117.82531) | Location Point : GeoPoint(latitude=34.0550374, longitude=-117.82532966666668) | Distance = 5.35729 | Residual: GeoPoint(latitude=-3.7400000003628975E-5, longitude=1.9666666673856525E-5)
Path Point: GeoPoint(latitude=34.05499, longitude=-117.82536) | Location Point : GeoPoint(latitude=34.0550364, longitude=-117.8253573) | Distance = 5.35729 | Residual: GeoPoint(latitude=-4.640000000222244E-5, longitude=-2.700000010236181E-6)
Path Point: GeoPoint(latitude=34.05508, longitude=-117.82539) | Location Point : GeoPoint(latitude=34.0550613, longitude=-117.82538193333333) | Distance = 5.35729 | Residual: GeoPoint(latitude=1.8699999998261774E-5, longitude=-8.066666666195488E-6)
Path Point: GeoPoint(latitude=34.05513, longitude=-117.82541) | Location Point : GeoPoint(latitude=34.0551609, longitude=-117.8254136) | Distance = 5.35729 | Residual: GeoPoint(latitude=-3.0899999998723615E-5, longitude=3.5999999994373866E-6)
Path Point: GeoPoint(latitude=34.05519, longitude=-117.82544) | Location Point : GeoPoint(latitude=34.0552037, longitude=-117.825427) | Distance = 5.35729 | Residual: GeoPoint(latitude=-1.3699999996674705E-5, longitude=-1.2999999995599865E-5)
Path Point: GeoPoint(latitude=34.05527, longitude=-117.82548) | Location Point : GeoPoint(latitude=34.0552675, longitude=-117.825454) | Distance = 5.35729 | Residual: GeoPoint(latitude=2.500000000793534E-6, longitude=-2.6000000005410584E-5)
Path Point: GeoPoint(latitude=34.05532, longitude=-117.82552) | Location Point : GeoPoint(latitude=34.05534515, longitude=-117.8255006) | Distance = 5.35729 | Residual: GeoPoint(latitude=-2.5149999999030115E-5, longitude=-1.9399999999336615E-5)
Path Point: GeoPoint(latitude=34.05539, longitude=-117.82558) | Location Point : GeoPoint(latitude=34.055434, longitude=-117.8255509) | Distance = 5.35729 | Residual: GeoPoint(latitude=-4.399999999549209E-5, longitude=-2.910000000611035E-5)
Path Point: GeoPoint(latitude=34.05544, longitude=-117.82563) | Location Point : GeoPoint(latitude=34.0554689, longitude=-117.8255951) | Distance = 5.35729 | Residual: GeoPoint(latitude=-2.890000000377313E-5, longitude=-3.490000000283544E-5)
Path Point: GeoPoint(latitude=34.05548, longitude=-117.82567) | Location Point : GeoPoint(latitude=34.055508, longitude=-117.8256409) | Distance = 5.35729 | Residual: GeoPoint(latitude=-2.800000000036107E-5, longitude=-2.910000000611035E-5)
Path Point: GeoPoint(latitude=34.05551, longitude=-117.82571) | Location Point : GeoPoint(latitude=34.0555376, longitude=-117.8257001) | Distance = 5.35729 | Residual: GeoPoint(latitude=-2.7600000002792058E-5, longitude=-9.8999999949001E-6)
Path Point: GeoPoint(latitude=34.05552, longitude=-117.82576) | Location Point : GeoPoint(latitude=34.055567, longitude=-117.8257551) | Distance = 5.35729 | Residual: GeoPoint(latitude=-4.700000000212867E-5, longitude=-4.900000007523886E-6)
Path Point: GeoPoint(latitude=34.05562, longitude=-117.82585) | Location Point : GeoPoint(latitude=34.05561053333333, longitude=-117.82581343333334) | Distance = 5.35729 | Residual: GeoPoint(latitude=9.46666666834517E-6, longitude=-3.656666666529418E-5)
